BAY_SEG,Year,source,tnload,TN,TN%,,tpload,TP,TP%,,tssload,TSS,TSS%,,bodload,BOD,BOD%,,h2oload10e6m3
6,2018,DPS,0.424238655,,2.07%,,0.038493681,,1.60%,,0.142876669,,0.06%,,0.436932016,,0.91%,,0.198189031
6,2018,GW,0.022142775,,0.11%,,0.116269524,,4.82%,,,,0.00%,,,,0.00%,,0.771050802
6,2018,NPS,10.31919245,20.45863566,50.44%,,2.085522675,2.411668862,86.48%,,235.8110437,235.9539204,99.94%,,47.74604306,48.18297508,99.09%,,7.456887078
6,2019,AD,8.665897728,,31.92%,,0.157855535,,4.02%,,,,0.00%,,,,0.00%,,22.06282506
6,2019,DPS,1.275700074,,4.70%,,0.16533891,,4.21%,,0.372660799,,0.10%,,0.955540509,,1.19%,,0.433425889
6,2019,GW,0.022142775,,0.08%,,0.116269524,,2.96%,,,,0.00%,,,,0.00%,,0.771050802
6,2019,NPS,17.18510682,27.1488474,63.30%,,3.491643441,3.93110741,88.82%,,391.877515,392.2501758,99.90%,,79.39892084,80.35446135,98.81%,,12.28571173
6,2020,AD,10.62221005,,45.66%,,0.18568953,,6.50%,,,,0.00%,,,,0.00%,,22.81446377
6,2020,DPS,0.455686644,,1.96%,,0.08043635,,2.82%,,0.123571244,,0.04%,,0.305241528,,0.54%,,0.131959462
6,2020,GW,0.022142775,,0.10%,,0.116269524,,4.07%,,,,0.00%,,,,0.00%,,0.771050802
6,2020,NPS,12.16235492,23.26239439,52.28%,,2.472478909,2.854874313,86.61%,,279.6000715,279.7236427,99.96%,,56.61161465,56.91685618,99.46%,,8.842895236
6,2021,AD,8.025775042,,40.24%,,0.145447245,,5.65%,,,,0.00%,,,,0.00%,,19.84902785
6,2021,DPS,0.722100258,,3.62%,,0.038362115,,1.49%,,0.202059902,,0.08%,,0.551764787,,1.05%,,0.2502763
6,2021,GW,0.022142775,,0.11%,,0.116269524,,4.52%,,,,0.00%,,,,0.00%,,0.771050802
6,2021,NPS,11.17369546,19.94371354,56.03%,,2.272895552,2.572974436,88.34%,,255.788451,255.9905109,99.92%,,51.81297323,52.36473802,98.95%,,8.044649726
7,2017,AD,21.7075167,,2.34%,,0.400270219,,0.18%,,,,0.00%,,,,0.00%,,57.67413303
7,2017,DPS,38.94193002,,4.19%,,4.309498709,,1.89%,,8.162804884,,0.05%,,7.118462486,,0.19%,,14.75865894
7,2017,GW,0.15063971,,0.02%,,0.728774924,,0.32%,,,,0.00%,,,,0.00%,,5.247049851
7,2017,NPS,868.2968794,929.0969658,93.46%,,223.1734236,228.6119675,97.62%,,14842.21571,14850.37851,99.95%,,3676.847773,3683.966235,99.81%,,601.8932566
7,2018,AD,24.36077688,,3.68%,,0.431115719,,0.26%,,,,0.00%,,,,0.00%,,54.10773395
7,2018,DPS,132.762398,,20.08%,,3.998857323,,2.42%,,32.0605141,,0.39%,,13.46832525,,0.55%,,13.53058422
7,2018,GW,0.15063971,,0.02%,,0.728774924,,0.44%,,,,0.00%,,,,0.00%,,5.247049851
7,2018,NPS,503.9804735,661.2542881,76.22%,,159.9812733,165.1400213,96.88%,,8195.730781,8227.791295,99.61%,,2447.202622,2460.670947,99.45%,,430.8161105
7,2019,AD,21.73394354,,3.83%,,0.39590078,,0.27%,,,,0.00%,,,,0.00%,,55.49480105
7,2019,DPS,31.23280654,,5.51%,,1.8977322,,1.31%,,7.326585554,,0.08%,,2.545923539,,0.11%,,13.69143546
7,2019,GW,0.15063971,,0.03%,,0.728774924,,0.50%,,,,0.00%,,,,0.00%,,5.247049851
7,2019,NPS,514.2138114,567.3312012,90.64%,,142.218382,145.2407899,97.92%,,8871.614304,8878.94089,99.92%,,2294.891988,2297.437912,99.89%,,390.9203439
7,2020,AD,28.50345838,,5.77%,,0.498344081,,0.39%,,,,0.00%,,,,0.00%,,61.20593132
7,2020,DPS,29.06852469,,5.88%,,1.78718009,,1.39%,,10.07539307,,0.13%,,5.737017274,,0.28%,,14.44852771
7,2020,GW,0.15063971,,0.03%,,0.728774924,,0.57%,,,,0.00%,,,,0.00%,,5.247049851
7,2020,NPS,436.5909338,494.3135566,88.32%,,125.4801534,128.4944525,97.65%,,7762.760716,7772.836109,99.87%,,2052.332785,2058.069802,99.72%,,350.6082643
7,2021,AD,21.35675059,,4.61%,,0.386316962,,0.30%,,,,0.00%,,,,0.00%,,52.50073268
7,2021,DPS,30.22134526,,6.53%,,1.68125505,,1.29%,,8.721895242,,0.11%,,5.47444375,,0.27%,,16.63390965
7,2021,GW,0.15063971,,0.03%,,0.728774924,,0.56%,,,,0.00%,,,,0.00%,,5.247049851
7,2021,NPS,411.0399637,462.7686993,88.82%,,127.4936522,130.2899991,97.85%,,7638.675547,7647.397442,99.89%,,2013.375541,2018.849985,99.73%,,343.6296727
55,2017,AD,19.5005734,,63.34%,,0.356034967,,17.08%,,,,0.00%,,,,0.00%,,50.31131053
55,2017,DPS,1.678354392,,5.45%,,0.125390481,,6.01%,,0.062908478,,0.02%,,0.226604669,,0.39%,,0.947716986
55,2017,GW,0.003518578,,0.01%,,0.0332413,,1.59%,,,,0.00%,,,,0.00%,,0.11098584
55,2017,NPS,9.604233428,30.7866798,31.20%,,1.570386258,2.085053006,75.32%,,303.0701415,303.13305,99.98%,,57.21563091,57.44223558,99.61%,,5.450669939
55,2018,AD,36.95809769,,69.81%,,0.653303725,,20.95%,,,,0.00%,,,,0.00%,,81.47052721
55,2018,DPS,1.630921709,,3.08%,,0.089706062,,2.88%,,0.074299739,,0.02%,,0.217203474,,0.25%,,0.956328382
55,2018,GW,0.003518578,,0.01%,,0.0332413,,1.07%,,,,0.00%,,,,0.00%,,0.11098584
55,2018,NPS,14.34690028,52.93943826,27.10%,,2.342370134,3.118621221,75.11%,,452.7922361,452.8665358,99.98%,,85.55681817,85.77402164,99.75%,,8.173432874
55,2019,AD,34.83503713,,56.55%,,0.635901034,,12.92%,,,,0.00%,,,,0.00%,,89.1796015
55,2019,DPS,1.547544862,,2.51%,,0.13217198,,2.69%,,0.071950035,,0.01%,,0.207081748,,0.14%,,0.979352431
55,2019,GW,0.003518578,,0.01%,,0.0332413,,0.68%,,,,0.00%,,,,0.00%,,0.11098584
55,2019,NPS,25.21440639,61.60050696,40.93%,,4.120503062,4.921817376,83.72%,,796.3488774,796.4208274,99.99%,,150.2008181,150.4078998,99.86%,,14.21560729
55,2020,AD,33.16316739,,69.59%,,0.58792255,,20.66%,,,,0.00%,,,,0.00%,,75.18602535
55,2020,DPS,1.613491462,,3.39%,,0.122218902,,4.29%,,0.064676511,,0.02%,,0.197869843,,0.26%,,0.910112995
55,2020,GW,0.003518578,,0.01%,,0.0332413,,1.17%,,,,0.00%,,,,0.00%,,0.11098584
55,2020,NPS,12.87180037,47.6519778,27.01%,,2.102816396,2.846199148,73.88%,,405.1455271,405.2102036,99.98%,,76.61308079,76.81095063,99.74%,,7.375844907
55,2021,AD,25.49721806,,65.03%,,0.465911166,,18.21%,,,,0.00%,,,,0.00%,,64.87834283
55,2021,DPS,1.698711895,,4.33%,,0.09667008,,3.78%,,0.167200716,,0.04%,,0.168902124,,0.24%,,0.863255728
55,2021,GW,0.003518578,,0.01%,,0.0332413,,1.30%,,,,0.00%,,,,0.00%,,0.11098584
55,2021,NPS,12.00888806,39.20833659,30.63%,,1.962442082,2.558264628,76.71%,,378.9016449,379.0688456,99.96%,,71.56851121,71.73741333,99.76%,,6.83303105
,,,,,,,,,,,,,,,,,,,
5567,2017,AD,48.6308736,,4.94%,,,,,,,,,,,,,,
5567,2017,DPS,41.45253529,,4.21%,,,,,,,,,,,,,,
5567,2017,GW,0.176301063,,0.02%,,,,,,,,,,,,,,
5567,2017,NPS,895.0066148,985.2663248,90.84%,,,,,,,,,,,,,,
5567,2018,AD,71.01193635,,9.67%,,,,,,,,,,,,,,
5567,2018,DPS,134.8175584,,18.35%,,,,,,,,,,,,,,
5567,2018,GW,0.176301063,,0.02%,,,,,,,,,,,,,,
5567,2018,NPS,528.6465663,734.6523621,71.96%,,,,,,,,,,,,,,
5567,2019,AD,65.23487839,,9.94%,,,,,,,,,,,,,,
5567,2019,DPS,34.05605148,,5.19%,,,,,,,,,,,,,,
5567,2019,GW,0.176301063,,0.03%,,,,,,,,,,,,,,
5567,2019,NPS,556.6133246,656.0805555,84.84%,,,,,,,,,,,,,,
5567,2020,AD,72.28883582,,12.79%,,,,,,,,,,,,,,
5567,2020,DPS,31.13770279,,5.51%,,,,,,,,,,,,,,
5567,2020,GW,0.176301063,,0.03%,,,,,,,,,,,,,,
5567,2020,NPS,461.625089,565.2279287,81.67%,,,,,,,,,,,,,,
5567,2021,AD,54.87974369,,10.51%,,,,,,,,,,,,,,
5567,2021,DPS,32.64215741,,6.25%,,,,,,,,,,,,,,
5567,2021,GW,0.176301063,,0.03%,,,,,,,,,,,,,,
5567,2021,NPS,434.2225472,521.9207494,83.20%,,,,,,,,,,,,,,
