bayseg,YEAR,MONTH,entity,facname,source,tnloadtons,tploadtons,tssloadtons,bodloadtons
1,2022,6,CLEARWATER,,Non-Point Source,1.2358128332,0.3374128312,57.574354274,10.948606333
1,2022,6,Conservation,,Non-Point Source,0.7258261643,0.0804869554,8.0053381374,2.3226472795
1,2022,6,FDACS (Agriculture),,Non-Point Source,1.0004091095,0.0607678067,9.703002976,1.5685727231
1,2022,6,HERITAGE HARBOR,,Non-Point Source,0.017127773,0.0021112491,0.7512081743,0.1541689679
1,2022,6,HILLSBOROUGH,,Non-Point Source,7.3699127359,1.4709680117,243.79643708,47.281990438
1,2022,6,LARGO,,Non-Point Source,0.6020309407,0.1251770867,21.667168775,4.0179807211
1,2022,6,MSGP COT,,Non-Point Source,0.3721206495,0.0596404977,8.9031096395,2.8664465434
1,2022,6,MSGP PINELLAS,,Non-Point Source,0.5052087404,0.0865921118,16.635209829,3.9768600437
1,2022,6,MacDill AFB,,Non-Point Source,0.0387563351,0.0063965173,0.6149634528,0.2358345257
1,2022,6,None,,Non-Point Source,0.0021496129,0.0000981397,0.026752958,0.0061031877
1,2022,6,OLDSMAR,,Non-Point Source,0.5631230561,0.1118505188,17.053912023,3.2288168263
1,2022,6,PALM BAY,,Non-Point Source,0.0049585215,0.0010686512,0.1694197927,0.0292451465
1,2022,6,PARK PLACE,,Non-Point Source,0.0623310017,0.0124397753,1.6533676526,0.3273844797
1,2022,6,PASCO,,Non-Point Source,0.0532197088,0.0061720313,1.9158325412,0.4336169498
1,2022,6,PINELLAS,,Non-Point Source,2.4610377305,0.5976346443,80.583653085,15.792127634
1,2022,6,PINELLAS PARK,,Non-Point Source,0.437616758,0.0898947719,19.00561495,3.0126477143
1,2022,6,SAFETY HARBOR,,Non-Point Source,0.5451725212,0.1227918679,16.830494117,3.211810786
1,2022,6,ST PETERSBURG,,Non-Point Source,0.3808548886,0.0788109436,14.997095825,2.7701627937
1,2022,6,STONEBRIAR,,Non-Point Source,0.0153090777,0.0018560831,0.6310140086,0.133392513
1,2022,6,TARPON SPRINGS,,Non-Point Source,0.0341839438,0.0094031595,0.9533281674,0.2080959113
1,2022,6,Tampa,,Non-Point Source,2.2122119564,0.4681300322,87.282192607,16.399396548
1,2022,6,WESTCHASE,,Non-Point Source,0.147354768,0.0283233761,3.6920113615,0.7742903018
1,2022,6,WESTCHASE EAST,,Non-Point Source,0.180954776,0.0355611725,4.892252746,0.9904886663
1,2022,6,Clearwater,City of Clearwater East AWWTF,PS - Domestic - REUSE,0.0356916274,0.0036164812,0.0017237434,0.003379889
1,2022,6,Clearwater,City of Clearwater Northeast AWWTF,PS - Domestic - REUSE,0.2387816443,0.0577873386,0.0566970114,0.0545163572
1,2022,6,Largo,City of Largo,PS - Domestic - REUSE,0.1375351927,0.0220575309,0.0173000242,0.0432500606
1,2022,6,Oldsmar,City of Oldsmar WRF,PS - Domestic - REUSE,0.0379768079,0.0005569932,0.0058231105,0.0101271488
1,2022,6,Hillsborough Co.,Northwest Regional WRF,PS - Domestic - REUSE,0.5874847886,0.0195828263,0.0195828263,0.0349693327
1,2022,6,Pinellas Co.,On Top Of The World WWTP,PS - Domestic - REUSE,0.0191902584,0.0002284555,0.0014164238,0.0070821192
1,2022,6,St. Petersburg,St Pete Facilities,PS - Domestic - REUSE,0.4220275069,0.0329021024,0.019202376,0.0440151673
1,2022,6,Hillsborough Co.,Van Dyke WWTP,PS - Domestic - REUSE,0.0505506208,0.0137448818,0.0058033945,0.0091632545
1,2022,6,Pinellas Co.,William E. Dunn WRF (Pinellas NW),PS - Domestic - REUSE,0.0326822745,0.0111173311,0.0133943748,0.0267887496
1,2022,6,Clearwater,City of Clearwater East AWWTF,PS - Domestic - SW,0.4494501234,0.2732452455,0.130238388,0.2553693883
1,2022,6,Clearwater,City of Clearwater Northeast AWWTF,PS - Domestic - SW,0.0328975859,0.0477690973,0.0468677936,0.0450651862
1,2022,6,Largo,City of Largo,PS - Domestic - SW,0.7185268391,0.2304708729,0.180761469,0.4519036724
1,2022,6,Oldsmar,City of Oldsmar WRF,PS - Domestic - SW,0,0,0,0
