year,month,bayseg,basin,entity,CLUCSID,tnloadtons,tploadtons,tssloadtons,bodloadtons
2023,2,1,02306647,FDACS (Agriculture),10,0.0009024554,0.0003555353,0.0035033528,0.0020354823
2023,2,1,02306647,FDACS (Agriculture),11,0.0004148965,0.0002392521,0.0026948841,0.0013501056
2023,2,1,02306647,HILLSBOROUGH,1,0.0360356675,0.0076745464,0.4069527116,0.0980883563
2023,2,1,02306647,HILLSBOROUGH,2,0.1961350941,0.038747738,3.8209237618,0.7641518489
2023,2,1,02306647,HILLSBOROUGH,3,0.2373355788,0.0544723688,8.729798632,1.4769320204
2023,2,1,02306647,HILLSBOROUGH,4,0.0842812288,0.0156851364,4.2857931743,0.8756198111
2023,2,1,02306647,HILLSBOROUGH,5,0.0548077594,0.0115845384,3.7648204648,0.3778148633
2023,2,1,02306647,HILLSBOROUGH,7,0.029925746,0.004922022,0.6073629764,0.2445217593
2023,2,1,02306647,HILLSBOROUGH,9,0.000247049,2.6163678E-6,0.0026275146,0.0003385589
2023,2,1,02306647,HILLSBOROUGH,15,0.002164585,0.0003691986,0.0294416383,0.0083855265
2023,2,1,02306647,HILLSBOROUGH,16,0,0,0,0
2023,2,1,02306647,HILLSBOROUGH,18,0.0413981414,0.0069282874,0.3527831393,0.156728008
2023,2,1,02306647,HILLSBOROUGH,20,0.0228309352,0.0038209107,0.1945481749,0.0864356577
2023,2,1,02306647,Tampa,1,0.0001329561,0.0000283158,0.0015014806,0.0003619039
2023,2,1,02306647,Tampa,2,0.0000804485,0.0000158931,0.0015672229,0.0003134311
2023,2,1,02306647,Tampa,3,0.0011037356,0.0002533252,0.0405981668,0.0068685127
2023,2,1,02306647,Tampa,4,0.0003069703,0.0000571286,0.0156097757,0.0031891947
2023,2,1,02306647,Tampa,7,0.0000253086,4.162626E-6,0.0005136558,0.0002067956
2023,2,1,02306647,Tampa,16,0,0,0,0
2023,3,1,02306647,FDACS (Agriculture),8,0.016476861,0.000171887,0.1749907908,0.0226498216
2023,3,1,02306647,FDACS (Agriculture),10,0.0008043496,0.0003168316,0.0031219766,0.001813899
2023,3,1,02306647,FDACS (Agriculture),11,0.0003697932,0.000213207,0.0024015181,0.0012031326
2023,3,1,02306647,HILLSBOROUGH,1,0.0321182347,0.0068390926,0.3626516941,0.0874104228
2023,3,1,02306647,HILLSBOROUGH,2,0.1748132731,0.0345296454,3.4049766365,0.6809660057
2023,3,1,02306647,HILLSBOROUGH,3,0.2115348584,0.0485424872,7.7794696352,1.3161526732
